objid,ra,dec,modelmag_r,modelmagerr_r,extinction_r,redshift,zErr
1237667443511656555,194.486257748461,27.4426037989638,17.44777,0.009182031,0.02378763,0.025682,7.44518E-06
1237667443511656567,194.50649494591,27.4896658449692,14.41383,0.002272715,0.0216898,0.02543061,8.295488E-06
1237667443511656590,194.503139521754,27.4539875922619,16.63759,0.004113032,0.0234398,0.02561549,1.66956E-05
1237667443511656599,194.528442730656,27.5768756438433,16.34423,0.004917585,0.02048664,0.02500718,1.921579E-05
1237667443511656604,194.525268086005,27.41892971181,16.247,0.004067632,0.02387297,0.01922019,2.106899E-05
1237667443511656611,194.540409601122,27.5494213129074,16.45361,0.00398829,0.020144,0.02326917,1.338027E-05
1237667443511656621,194.548607378976,27.5424825082509,17.1887,0.01189487,0.02064255,0.02374899,6.972407E-05
1237667443511656658,194.585544407911,27.4293829416211,16.92128,0.0054608,0.02386603,0.02515607,1.141572E-05
1237667443511656680,194.618366023763,27.5593782172644,15.5842,0.003049681,0.02332434,0.02526216,9.650779E-06
1237667443511722010,194.633601353935,27.4563338750488,15.05505,0.002571141,0.02414985,0.02341978,8.618525E-06
1237667443511722013,194.657624196313,27.4639536798017,15.83722,0.004517718,0.02440939,0.0209099,1.32097E-05
1237667443511722195,194.660041733041,27.5441002461781,15.25426,0.002725518,0.02392059,0.01991322,8.14811E-06
1237667443511722248,194.776318138544,27.4936310236085,17.66155,0.007840947,0.02049427,0.0272337,2.958896E-05
1237667443511787541,194.8071019503,27.4025691279803,14.38034,0.00214559,0.01805647,0.01886249,7.43964E-06
1237667443511787618,194.826871658135,27.5135105463817,16.10495,0.005660728,0.02003206,0.02015118,3.005531E-05
1237667443511787630,194.852450824493,27.517337600233,17.20668,0.006020707,0.02034277,0.01965179,2.227348E-05
1237667443511787686,194.834590287091,27.435237197549,17.29503,0.0108565,0.01795247,0.02567134,5.174934E-05
1237667443511853075,195.074225640514,27.3875161492179,15.36346,0.002913624,0.02124439,0.03678413,1.510578E-05
1237667443511853143,195.046668062856,27.4600839791545,17.62047,0.007535594,0.01849914,0.0228227,2.737279E-05
1237667443511853161,195.079593550087,27.5537206819325,14.66778,0.00233811,0.02059306,0.01964111,8.560927E-06
1237667443511853185,195.104915314208,27.5522601207074,16.43266,0.004450237,0.0210436,0.0242378,1.549619E-05
1237667443511853192,195.11189741629,27.5155910173828,15.0326,0.002568819,0.02006139,0.02595107,9.060235E-06
1237667443511853233,195.139784242372,27.5041237785449,16.11446,0.003893696,0.02067704,0.01860821,7.74026E-06
1237667443511918698,195.20800961403,27.4057818464861,13.92338,0.002089951,0.01894315,0.02198225,9.98203E-06
1237667443511918768,195.275799953577,27.3978258093587,15.83931,0.003653823,0.01634783,0.02706441,1.553012E-05
1237667443511984267,195.449898829919,27.3548146345931,17.09891,0.008307584,0.02291143,0.02019958,3.970567E-05
1237667443511984844,195.462820667619,27.4118499680901,17.64888,0.01712594,0.01980586,0.02022178,9.396447E-05
1237667443512049834,195.635726585595,27.3934908210099,17.1669,0.00674103,0.02292385,0.01820282,7.450166E-06
1237667443512115311,195.646561584546,27.4394408127028,15.45428,0.00398148,0.02462752,0.01806066,1.956339E-05
1237667443512115420,195.806948949738,27.3690777806527,15.10319,0.002966829,0.02158861,0.02127134,1.150413E-05
1237667443512180744,195.81939269978,27.3355550760005,17.63423,0.01432209,0.0212876,0.03530065,9.451672E-06
1237667443512180814,195.847673184891,27.3069583343845,17.3769,0.007836618,0.02094956,0.01855537,5.770792E-06
1237667443512246388,196.110603084292,27.3043126853379,15.25435,0.003207229,0.02900721,0.01837224,7.337783E-06
1237667444048265289,193.954174405671,27.9058629384561,15.03688,0.002504068,0.02226971,0.02312733,7.339042E-06
1237667444048265337,193.867386306958,27.9496847032653,16.59264,0.006206618,0.02241789,0.0207929,2.371005E-05
1237667444048265399,193.989401102579,27.9049261202999,15.56013,0.003636288,0.0221914,0.02193219,1.351518E-05
1237667444048330789,194.04125140232,27.8442642259626,14.47717,0.00221354,0.02234048,0.0252572,6.81151E-06
1237667444048330864,194.124219418222,27.9400025531362,14.43044,0.002178061,0.01817784,0.02213149,7.745751E-06
1237667444048330974,194.006462553163,28.0383603406484,14.732,0.003356196,0.01866807,0.01979616,1.743912E-05
1237667444048330975,194.011403308108,28.0479630718754,16.76735,0.005210921,0.01867683,0.02467731,2.290457E-05
1237667444048331015,193.998988436601,27.9550703954291,15.59004,0.003421185,0.01998037,0.02700811,1.142725E-05
1237667444048331125,194.153739337929,27.8848868210671,17.31271,0.00835378,0.01815301,0.0210654,3.649216E-05
1237667444048396291,194.178572371366,28.0204514262826,13.94994,0.001926527,0.01742494,0.02086722,7.657778E-06
1237667444048396324,194.221407959797,27.9294970525839,15.11156,0.002646549,0.02019509,0.02040969,8.9829E-06
1237667444048461836,194.34058566385,27.8804298329713,15.32834,0.002779886,0.0250228,0.02480892,9.374273E-06
1237667444048461844,194.380146176297,28.0184243481082,17.41206,0.008644872,0.02061366,0.02351467,5.193356E-05
1237667444048461861,194.450278231522,27.8830574728906,14.29236,0.002102908,0.02391485,0.01953211,7.043742E-06
1237667444048461862,194.460980630353,27.8794848237614,15.0987,0.002622808,0.02390785,0.02317353,9.760078E-06
1237667444048461897,194.447097179312,27.8333090223157,14.82684,0.002456569,0.02476049,0.02018767,8.171925E-06
1237667444048461951,194.438760209091,27.9059772049761,17.57675,0.008781522,0.02337563,0.02702302,3.754852E-05
1237667444048461985,194.486651075931,27.9917515592995,17.01942,0.008604183,0.0246164,0.01522599,4.382482E-06
1237667444048527371,194.514623585942,27.8149479142084,14.73376,0.002323733,0.024942,0.0237746,8.193682E-06
1237667444048527399,194.590959146639,27.9677800604517,14.04987,0.001983083,0.02634376,0.0200533,7.186913E-06
1237667444048527492,194.511940568038,27.9783497636871,17.13336,0.005666523,0.02581261,0.02190111,2.416199E-05
1237667444048527503,194.507132631156,27.853558836155,16.07813,0.003807422,0.02440233,0.01897641,1.152313E-05
