wavelength_A,flux
4276.613,5.8624897
4277.5986,7.1665583
4278.583,6.160436
4279.5693,4.81723
4280.554,5.6296887
4281.5386,6.479564
4282.526,4.8720503
4283.511,4.8645735
4284.499,4.599289
4285.485,6.452269
4286.473,6.7803307
4287.459,4.046551
4288.4453,3.4950986
4289.434,6.621428
4290.421,6.0668736
4291.4106,4.614184
4292.3975,4.5741515
4293.3877,5.6303196
4294.375,7.203024
4295.3633,7.014888
4296.3535,6.975362
4297.342,4.229315
4298.333,2.7663085
4299.322,8.938918
4300.313,8.285586
4301.3022,6.24482
4302.292,1.8928518
4303.284,2.6171908
4304.274,4.9992456
4305.2666,5.195153
4306.257,5.5058184
4307.25,4.6021614
4308.2407,2.977237
4309.232,2.6048944
4310.2256,1.3673046
4311.2173,4.982227
4312.2114,5.365357
4313.2036,6.888091
4314.198,5.0946426
4315.1904,3.6783974
4316.183,4.361556
4317.1787,4.57737
4318.172,5.55592
4319.1675,7.1631613
4320.161,5.9287224
4321.157,5.6113524
4322.1514,5.4630175
4323.1455,9.751036
4324.1426,5.3035054
4325.137,1.9123275
4326.135,4.977248
4327.13,4.422197
4328.128,5.1801414
4329.1235,3.4275045
4330.119,4.56215
4331.1177,6.049591
4332.1143,2.5581927
4333.1133,4.4753995
4334.11,5.7379975
4335.1094,6.116097
4336.107,5.025223
4337.1064,6.850613
4338.1045,5.6590295
4339.1025,6.1483984
4340.103,6.038969
4341.1016,3.6172779
4342.1025,5.9053874
4343.101,5.8273034
4344.103,3.3499944
4345.102,3.904692
4346.1016,2.6234648
4347.104,5.9167895
4348.104,3.1214101
4349.1064,4.70494
4350.107,6.8310285
4351.1104,4.6980996
4352.1113,6.196211
4353.1123,5.3262544
4354.116,2.864081
4355.1177,4.5230637
4356.122,4.455423
4357.1245,4.305751
4358.129,7.142376
4359.132,6.06772
4360.1343,7.688167
4361.14,9.754846
4362.143,6.304369
4363.149,4.8811097
4364.153,6.083561
4365.159,6.5389147
4366.1636,5.3185735
4367.168,6.6272244
4368.175,7.105332
4369.1797,4.406552
4370.1875,3.3333836
4371.193,5.3140764
4372.2007,5.0122247
4373.2065,3.3441956
4374.2124,6.576888
4375.221,7.1593785
4376.2275,5.851114
4377.237,5.347763
4378.2437,0.92758024
4379.2534,6.8793445
4380.2607,4.876939
4381.2686,2.913878
4382.279,6.725773
4383.287,7.922018
4384.298,6.445305
4385.306,6.5407534
4386.3174,5.2101336
4387.3267,4.810674
4388.336,6.7578754
4389.348,9.955015
4390.358,3.071225
4391.37,6.4076815
4392.3804,8.367818
4393.393,3.9307141
4394.404,5.317724
4395.415,5.6478715
4396.428,4.810426
4397.44,6.7314363
4398.4536,7.060581
4399.466,3.8051662
4400.48,2.1065607
4401.4927,3.2637699
4402.505,5.365506
4403.5205,5.5131474
4404.533,5.1874743
4405.549,3.6932104
4406.5625,5.221499
4407.5786,5.5482106
4408.593,4.219656
4409.607,4.153708
4410.6235,4.5519085
4411.638,3.3641958
4412.656,3.2544122
4413.671,4.7434607
4414.6885,4.2597785
4415.704,6.446925
4416.722,7.2045836
4417.7383,6.749669
4418.755,3.8138843
4419.7734,5.768779
4420.7905,5.897284
4421.81,7.3686943
4422.827,5.855083
4423.847,4.6441016
4424.8647,4.204471
4425.883,5.397159
4426.9033,6.25493
4427.9214,4.2627506
4428.943,5.180082
4429.9614,5.3269362
4430.983,8.277794
4432.0024,6.517006
4433.022,6.821774
4434.0444,6.924053
4435.0645,6.6106076
4436.087,4.9288063
4437.1074,6.750732
4438.131,8.960606
4439.152,8.141097
4440.173,6.7252913
4441.197,6.4640512
4442.2183,5.9461904
4443.2427,5.2714033
4444.265,5.4977703
4445.29,4.933445
4446.3125,4.6801004
4447.3354,4.7348037
4448.361,8.336129
4449.3843,6.602116
4450.41,4.6933866
4451.434,8.248983
